,chrom,index,coverage
0,chr1,0,327
1,chr1,1,1562
2,chr1,2,499
3,chr1,3,1893
4,chr1,4,397
5,chr1,5,139155
6,chr1,6,3322
7,chr1,7,10536
8,chr1,8,400
9,chr1,9,637
10,chr1,10,89
11,chr1,11,465
12,chr1,12,120
13,chr1,13,1351
14,chr1,14,934
15,chr1,15,2766
16,chr1,16,4241
17,chr1,17,4383
18,chr1,18,85
19,chr1,19,21
20,chr1,20,37
21,chr1,21,33
22,chr1,22,438
23,chr1,23,1430
24,chr1,24,174
25,chr1,25,359
26,chr1,26,1
27,chr1,27,29
28,chr1,28,2
29,chr1,29,8
30,chr1,30,14
31,chr1,31,2
32,chr1,32,25
33,chr1,33,11
34,chr1,34,504
35,chr1,35,511
36,chr1,36,3545
37,chr1,37,1327
38,chr1,38,477
39,chr1,39,0
40,chr1,40,20
41,chr1,41,52
42,chr1,42,43
43,chr1,43,17
44,chr1,44,21
45,chr1,45,17
46,chr1,46,110
47,chr1,47,75
48,chr1,48,17
49,chr1,49,15
50,chr1,50,22
51,chr1,51,40
52,chr1,52,7
53,chr1,53,11
54,chr1,54,15
55,chr1,55,8
56,chr1,56,71
57,chr1,57,19
58,chr1,58,44
59,chr1,59,31
60,chr1,60,57
61,chr1,61,794
62,chr1,62,48438
63,chr1,63,260
64,chr1,64,31
65,chr1,65,975
66,chr1,66,766
67,chr1,67,1006
68,chr1,68,555
69,chr1,69,336
70,chr1,70,16
71,chr1,71,26
72,chr1,72,16
73,chr1,73,12
74,chr1,74,14
75,chr1,75,11
76,chr1,76,23
77,chr1,77,38
78,chr1,78,1484
79,chr1,79,140
80,chr1,80,7878
81,chr1,81,155
82,chr1,82,81
83,chr1,83,135
84,chr1,84,685
85,chr1,85,76
86,chr1,86,79
87,chr1,87,528
88,chr1,88,2427
89,chr1,89,3168
90,chr1,90,251
91,chr1,91,221
92,chr1,92,284
93,chr1,93,178
94,chr1,94,140
95,chr1,95,88
96,chr1,96,5713
97,chr1,97,842
98,chr1,98,676
99,chr1,99,1122
100,chr1,100,452
101,chr1,101,973
102,chr1,102,2899
103,chr1,103,437
104,chr1,104,2073
105,chr1,105,2167
106,chr1,106,169
107,chr1,107,114
108,chr1,108,23
109,chr1,109,54
110,chr1,110,16300
111,chr1,111,4040
112,chr1,112,334
113,chr1,113,1129
114,chr1,114,65
115,chr1,115,35
116,chr1,116,30
117,chr1,117,170
118,chr1,118,401
119,chr1,119,1019
120,chr1,120,3391
121,chr1,121,330
122,chr1,122,951
123,chr1,123,259
124,chr1,124,180
125,chr1,125,246
126,chr1,126,51
127,chr1,127,223
128,chr1,128,21
129,chr1,129,1897
130,chr1,130,22
131,chr1,131,890
132,chr1,132,6
133,chr1,133,34
134,chr1,134,54
135,chr1,135,35
136,chr1,136,34
137,chr1,137,60
138,chr1,138,138
139,chr1,139,38
140,chr1,140,609
141,chr1,141,9225
142,chr1,142,32
143,chr1,143,46
144,chr1,144,14
145,chr1,145,15
146,chr1,146,20
147,chr1,147,16
148,chr1,148,51
149,chr1,149,48
150,chr1,150,155
151,chr1,151,31
152,chr1,152,31
153,chr1,153,308
154,chr1,154,41
155,chr1,155,75
156,chr1,156,66
157,chr1,157,2202
158,chr1,158,730
159,chr1,159,4363
160,chr1,160,190
161,chr1,161,11403
162,chr1,162,3916
163,chr1,163,11
164,chr1,164,28
165,chr1,165,311
166,chr1,166,1606
167,chr1,167,6417
168,chr1,168,3953
169,chr1,169,669
170,chr1,170,5217
171,chr1,171,38
172,chr1,172,190
173,chr1,173,1365
174,chr1,174,33
175,chr1,175,36
176,chr1,176,67
177,chr1,177,8281
178,chr1,178,56
179,chr1,179,13
180,chr1,180,40
181,chr1,181,10
182,chr1,182,6
183,chr1,183,11
184,chr1,184,11
185,chr1,185,15
186,chr1,186,39
187,chr1,187,18
188,chr1,188,453
189,chr1,189,12
190,chr1,190,18
191,chr1,191,134
192,chr1,192,1088
193,chr1,193,104
194,chr1,194,2199
195,chr1,195,1691
196,chr1,196,2634
197,chr1,197,122
198,chr1,198,62
199,chr1,199,3158
200,chr1,200,146
201,chr1,201,49
202,chr1,202,374
203,chr1,203,61
204,chr1,204,45
205,chr1,205,49
206,chr1,206,36
207,chr1,207,25
208,chr1,208,116
209,chr1,209,1222
210,chr1,210,4132
211,chr1,211,2426
212,chr1,212,1037
213,chr1,213,125
214,chr1,214,106
215,chr1,215,248
216,chr1,216,54
217,chr1,217,3618
218,chr1,218,3069
219,chr1,219,35
220,chr1,220,17204
221,chr1,221,148
222,chr1,222,702
223,chr1,223,168
224,chr1,224,16593
225,chr1,225,50
226,chr1,226,1409
227,chr1,227,23
228,chr1,228,376
229,chr1,229,11
230,chr1,230,37
231,chr1,231,52
232,chr1,232,344
233,chr1,233,4737
234,chr1,234,2381
235,chr1,235,239
236,chr1,236,11045
237,chr1,237,114
238,chr1,238,978
239,chr1,239,115
240,chr1,240,17452
241,chr1,241,2924
242,chr1,242,28486
243,chr1,243,2843
244,chr1,244,185
245,chr1,245,34
246,chr1,246,91
247,chr1,247,573
248,chr1,248,137
249,chr1,249,8352
250,chr1,250,135
251,chr1,251,4456
252,chr1,252,2011
253,chr1,253,581
254,chr1,254,52
255,chr1,255,4198
